,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,tsihombe,,,,,,,,
1,vila do maio,CV,2020-04-14 13:04:48,15.13,-23.22,75,51,82.66999999999996,10.3
2,feijo,BR,2020-04-14 13:04:49,-8.16,-70.35,6,48,91.54399999999998,2.52
3,taywarah,AF,2020-04-14 13:04:49,33.35,64.42,54,40,39.95600000000003,1.38
4,upernavik,GL,2020-04-14 13:04:49,72.79,-56.15,100,94,24.40399999999995,3.98
5,ushuaia,AR,2020-04-14 13:00:01,-54.8,-68.3,100,76,48.469999999999956,2.58
6,butaritari,KI,2020-04-14 13:04:49,3.07,172.79,37,80,83.89399999999998,7.9
7,amderma,,,,,,,,
8,saldanha,ZA,2020-04-14 13:04:49,-33.01,17.94,0,68,64.66999999999996,3.6
9,punta arenas,CL,2020-04-14 13:00:00,-53.15,-70.92,75,62,53.86999999999996,8.7
10,hithadhoo,MV,2020-04-14 13:04:50,-0.6,73.08,49,64,85.96400000000003,0.82
11,bluff,NZ,2020-04-14 13:04:50,-46.6,168.33,73,87,43.26799999999999,1.34
12,khorinsk,RU,2020-04-14 13:04:50,52.17,109.77,99,67,34.03399999999999,2.39
13,meulaboh,ID,2020-04-14 13:04:50,4.14,96.13,100,84,79.25,2.05
14,tasiilaq,GL,2020-04-14 13:04:50,65.61,-37.64,20,40,35.86999999999996,5.7
15,rikitea,PF,2020-04-14 13:04:50,-23.12,-134.97,40,70,76.02799999999996,3.71
16,husavik,IS,2020-04-14 13:04:50,66.04,-17.34,20,41,43.06999999999996,12.9
17,broken hill,AU,2020-04-14 13:04:50,-31.95,141.43,39,36,61.069999999999965,4.1
18,puerto ayora,EC,2020-04-14 13:04:51,-0.74,-90.35,75,78,82.66999999999996,2.1
19,berlevag,NO,2020-04-14 13:04:51,70.86,29.09,75,87,32.26999999999996,6.7
20,hermanus,ZA,2020-04-14 13:04:51,-34.42,19.23,1,82,65.26400000000004,3.98
21,touros,BR,2020-04-14 13:04:51,-5.2,-35.46,40,55,89.86999999999996,4.6
